"filename", "language", "YAML", "Markdown", "Shell Script", "Mermaid Radar", "PowerShell", "Docker", "JavaScript", "Python", "JavaScript JSX", "PostCSS", "MS SQL", "Ini", "Ignore", "pip requirements", "JSON", "HTML", "comment", "blank", "total"
"c:\Users\Carlos\Desktop\Proyectos\poc-asistente-tecnico\backend\models\session.py", "Python", 0, 0, 0, 0, 0, 0, 0, 51, 0, 0, 0, 0, 0, 0, 0, 0, 3, 14, 68
"c:\Users\Carlos\Desktop\Proyectos\poc-asistente-tecnico\backend\models\vehicle.py", "Python", 0, 0, 0, 0, 0, 0, 0, 17, 0, 0, 0, 0, 0, 0, 0, 0, 2, 9, 28
"c:\Users\Carlos\Desktop\Proyectos\poc-asistente-tecnico\backend\orchestrator\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 2
"c:\Users\Carlos\Desktop\Proyectos\poc-asistente-tecnico\backend\orchestrator\graph.py", "Python", 0, 0, 0, 0, 0, 0, 0, 147, 0, 0, 0, 0, 0, 0, 0, 0, 41, 42, 230
"c:\Users\Carlos\Desktop\Proyectos\poc-asistente-tecnico\backend\orchestrator\nodes\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 2
"c:\Users\Carlos\Desktop\Proyectos\poc-asistente-tecnico\backend\orchestrator\nodes\classifier.py", "Python", 0, 0, 0, 0, 0, 0, 0, 208, 0, 0, 0, 0, 0, 0, 0, 0, 23, 26, 257
"c:\Users\Carlos\Desktop\Proyectos\poc-asistente-tecnico\backend\orchestrator\nodes\faq_matcher.py", "Python", 0, 0, 0, 0, 0, 0, 0, 136, 0, 0, 0, 0, 0, 0, 0, 0, 28, 29, 193
"c:\Users\Carlos\Desktop\Proyectos\poc-asistente-tecnico\backend\orchestrator\nodes\free_text.py", "Python", 0, 0, 0, 0, 0, 0, 0, 172, 0, 0, 0, 0, 0, 0, 0, 0, 21, 30, 223
"c:\Users\Carlos\Desktop\Proyectos\poc-asistente-tecnico\backend\orchestrator\nodes\menu.py", "Python", 0, 0, 0, 0, 0, 0, 0, 50, 0, 0, 0, 0, 0, 0, 0, 0, 7, 15, 72
"c:\Users\Carlos\Desktop\Proyectos\poc-asistente-tecnico\backend\orchestrator\nodes\tree_engine.py", "Python", 0, 0, 0, 0, 0, 0, 0, 230, 0, 0, 0, 0, 0, 0, 0, 0, 21, 37, 288
"c:\Users\Carlos\Desktop\Proyectos\poc-asistente-tecnico\backend\orchestrator\nodes\vin_lookup.py", "Python", 0, 0, 0, 0, 0, 0, 0, 99, 0, 0, 0, 0, 0, 0, 0, 0, 8, 17, 124
"c:\Users\Carlos\Desktop\Proyectos\poc-asistente-tecnico\backend\orchestrator\state.py", "Python", 0, 0, 0, 0, 0, 0, 0, 19, 0, 0, 0, 0, 0, 0, 0, 0, 2, 5, 26
"c:\Users\Carlos\Desktop\Proyectos\poc-asistente-tecnico\backend\pytest.ini", "Ini", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 1, 7
"c:\Users\Carlos\Desktop\Proyectos\poc-asistente-tecnico\backend\requirements.txt", "pip requirements", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 14, 0, 0, 8, 9, 31
"c:\Users\Carlos\Desktop\Proyectos\poc-asistente-tecnico\backend\services\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 2
"c:\Users\Carlos\Desktop\Proyectos\poc-asistente-tecnico\backend\services\groq_client.py", "Python", 0, 0, 0, 0, 0, 0, 0, 161, 0, 0, 0, 0, 0, 0, 0, 0, 53, 29, 243
"c:\Users\Carlos\Desktop\Proyectos\poc-asistente-tecnico\backend\services\ranking.py", "Python", 0, 0, 0, 0, 0, 0, 0, 67, 0, 0, 0, 0, 0, 0, 0, 0, 40, 27, 134
"c:\Users\Carlos\Desktop\Proyectos\poc-asistente-tecnico\backend\services\response_builder.py", "Python", 0, 0, 0, 0, 0, 0, 0, 165, 0, 0, 0, 0, 0, 0, 0, 0, 37, 21, 223
"c:\Users\Carlos\Desktop\Proyectos\poc-asistente-tecnico\backend\services\tracing.py", "Python", 0, 0, 0, 0, 0, 0, 0, 87, 0, 0, 0, 0, 0, 0, 0, 0, 32, 13, 132
"c:\Users\Carlos\Desktop\Proyectos\poc-asistente-tecnico\backend\tests\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 2
"c:\Users\Carlos\Desktop\Proyectos\poc-asistente-tecnico\backend\tests\test_faq_matcher.py", "Python", 0, 0, 0, 0, 0, 0, 0, 62, 0, 0, 0, 0, 0, 0, 0, 0, 5, 18, 85
"c:\Users\Carlos\Desktop\Proyectos\poc-asistente-tecnico\backend\tests\test_free_text.py", "Python", 0, 0, 0, 0, 0, 0, 0, 103, 0, 0, 0, 0, 0, 0, 0, 0, 6, 20, 129
